matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,20.20,32.57,8.30,20.11,47.98,71.41,23.26,76.34
amazon0302,N/A,16.43,2.50,25.52,25.64,49.96,8.55,49.48
cage13,35.22,57.63,23.06,35.24,66.15,73.62,65.55,73.60
cit-Patents,3.68,6.25,0.65,3.68,13.64,39.57,5.55,39.64
crankseg_2,23.15,43.66,10.86,23.08,58.50,N/A,53.99,79.44
parabolic_fem,29.86,37.61,N/A,29.86,51.07,70.99,N/A,69.77
poisson3Da,45.66,57.68,17.39,45.60,63.50,83.26,41.65,84.54
roadNet-CA,34.18,37.70,8.43,34.18,44.09,60.15,N/A,62.62
thermal2,43.60,34.02,5.07,43.49,48.17,65.78,N/A,63.51
webbase-1M,13.89,31.98,11.45,13.89,47.54,62.91,54.03,71.21
