matrix       , nrows  , ncols  , nnz     , avg_nnz_row, kernel      , avg_ms   , min_ms   , max_ms   , variance_ms, gflops    , eff_bw_gbs, pct_peak
parabolic_fem,  525825,  525825,  3674625,        6.99, FLAT        ,  0.178883,  0.177152,  0.180224, 0.000000412,  41.084212,   211.5294,    22.67
parabolic_fem,  525825,  525825,  3674625,        6.99, HYB         ,  0.051364,  0.050176,  0.052224, 0.000000250, 143.082257,   655.1850,    70.21
parabolic_fem,  525825,  525825,  3674625,        6.99, LINE        ,  0.076841,  0.074752,  0.078848, 0.000000628,  95.642351,   464.6858,    49.80
parabolic_fem,  525825,  525825,  3674625,        6.99, S-V-ADAPTIVE,  0.073789,  0.070656,  0.077824, 0.000001759,  99.597585,   512.4067,    54.91
parabolic_fem,  525825,  525825,  3674625,        6.99, SCALAR      ,  0.061819,  0.060416,  0.063488, 0.000000958, 118.883578,   577.6051,    61.90
parabolic_fem,  525825,  525825,  3674625,        6.99, cuSPARSE    ,  0.075663,  0.073728,  0.077824, 0.000000586,  97.130861,   471.9179,    50.57
poisson3Da   ,   13514,   13514,   352762,       26.1 , ACC         ,  0.019425,  0.018432,  0.02048 , 0.000000155,  36.319853,   153.6279,    16.46
poisson3Da   ,   13514,   13514,   352762,       26.1 , ELL         ,  0.020849,  0.02048 ,  0.021504, 0.000000241,  33.840272,   575.5975,    61.69
poisson3Da   ,   13514,   13514,   352762,       26.1 , FLAT        ,  0.105134,  0.104448,  0.105472, 0.000000232,   6.710708,    28.9258,     3.10
poisson3Da   ,   13514,   13514,   352762,       26.1 , HYB         ,  0.022221,  0.021504,  0.022528, 0.000000220,  31.750594,   181.7224,    19.47
poisson3Da   ,   13514,   13514,   352762,       26.1 , LINE        ,  0.021432,  0.02048 ,  0.022528, 0.000000151,  32.918678,   139.2414,    14.92
poisson3Da   ,   13514,   13514,   352762,       26.1 , S-V-ADAPTIVE,  0.020726,  0.02048 ,  0.021504, 0.000000191,  34.040904,   146.5964,    15.71
poisson3Da   ,   13514,   13514,   352762,       26.1 , SCALAR      ,  0.023695,  0.023552,  0.024576, 0.000000128,  29.774816,   125.9433,    13.50
poisson3Da   ,   13514,   13514,   352762,       26.1 , cuSPARSE    ,  0.018637,  0.018432,  0.019456, 0.000000167,  37.856468,   160.1276,    17.16
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, ACC         ,  0.116521,  0.115712,  0.11776 , 0.000000280,  63.31578 ,   456.2769,    48.90
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, ELL         ,  0.172616,  0.16896 ,  0.177152, 0.000002710,  42.74015 ,   730.8837,    78.33
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, FLAT        ,  0.237732,  0.236544,  0.238592, 0.000000318,  31.033371,   256.9273,    27.53
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, HYB         ,  0.121733,  0.119808,  0.12288 , 0.000000348,  60.604855,   479.7579,    51.41
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, LINE        ,  0.116347,  0.115712,  0.11776 , 0.000000305,  63.410496,   456.9595,    48.97
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, S-V-ADAPTIVE,  0.119767,  0.118784,  0.120832, 0.000000205,  61.599699,   509.7473,    54.63
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, SCALAR      ,  0.109322,  0.108544,  0.110592, 0.000000232,  67.485077,   486.3224,    52.12
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, cuSPARSE    ,  0.113183,  0.111616,  0.115712, 0.000000760,  65.183257,   469.7346,    50.34
thermal2     , 1228045, 1228045,  8580313,        6.99, ACC         ,  0.164567,  0.161792,  0.166912, 0.000001363, 104.277438,   506.6571,    54.30
thermal2     , 1228045, 1228045,  8580313,        6.99, ELL         ,  0.171551,  0.169984,  0.173056, 0.000000333, 100.032331,   687.2152,    73.65
thermal2     , 1228045, 1228045,  8580313,        6.99, FLAT        ,  0.285205,  0.283648,  0.28672 , 0.000000609,  60.169542,   309.8067,    33.20
thermal2     , 1228045, 1228045,  8580313,        6.99, HYB         ,  0.161055,  0.15872 ,  0.16384 , 0.000000920, 106.551597,   528.5929,    56.65
thermal2     , 1228045, 1228045,  8580313,        6.99, LINE        ,  0.184423,  0.182272,  0.187392, 0.000001226,  93.050583,   452.1087,    48.45
thermal2     , 1228045, 1228045,  8580313,        6.99, S-V-ADAPTIVE,  0.190956,  0.18944 ,  0.192512, 0.000000555,  89.867124,   462.3653,    49.55
thermal2     , 1228045, 1228045,  8580313,        6.99, SCALAR      ,  0.22954 ,  0.227328,  0.231424, 0.000000745,  74.76101 ,   363.2444,    38.93
thermal2     , 1228045, 1228045,  8580313,        6.99, cuSPARSE    ,  0.176067,  0.17408 ,  0.178176, 0.000000950,  97.466646,   473.5652,    50.75
webbase-1M   , 1000005, 1000005,  3105536,        3.11, ACC         ,  0.187228,  0.186368,  0.188416, 0.000000190,  33.173821,   218.2826,    23.39
webbase-1M   , 1000005, 1000005,  3105536,        3.11, FLAT        ,  0.200376,  0.19968 ,  0.201728, 0.000000273,  30.997039,   203.9594,    21.86
webbase-1M   , 1000005, 1000005,  3105536,        3.11, HYB         ,  0.308419,  0.30208 ,  0.31744 , 0.000008695,  20.138448,   149.8877,    16.06
webbase-1M   , 1000005, 1000005,  3105536,        3.11, LINE        ,  0.987351,  0.985088,  0.990208, 0.000000894,   6.290641,    37.3164,     4.00
webbase-1M   , 1000005, 1000005,  3105536,        3.11, S-V-ADAPTIVE,  0.10966 ,  0.108544,  0.111616, 0.000000760,  56.639285,   372.4632,    39.92
webbase-1M   , 1000005, 1000005,  3105536,        3.11, SCALAR      ,  0.66219 ,  0.65536 ,  0.671744, 0.000018358,   9.379593,    55.6402,     5.96
webbase-1M   , 1000005, 1000005,  3105536,        3.11, cuSPARSE    ,  0.079012,  0.077824,  0.080896, 0.000000499,  78.60941 ,   466.3145,    49.97
