matrix       , kernel             , l1_hit_pct, l2_hit_pct, coalescing_pct, warp_occ_pct, kernel_time_us, dram_read_mb, dram_write_mb, dram_total_mb, sectors_per_load_req, global_loads_M, global_stores_M
roadNet-CA   , FLAT_core          ,    37.7000,    39.0300,        57.2500,      87.4500,        90.9100,      53.3600,        6.4400,       59.8000,               5.5200,         0.5591,          0.0000
roadNet-CA   , HYB_coo            ,     8.4300,    33.8400,        48.7500,      85.3600,        34.7200,      21.5800,        2.4100,       23.9900,               7.8100,         0.0693,          0.0000
roadNet-CA   , HYB_ell            ,    34.1800,    38.5600,        59.6700,      94.4400,       164.5400,     118.5300,        7.9600,      126.4900,               4.8100,         1.2937,          0.0616
roadNet-CA   , LINE               ,    44.0900,    47.6500,        55.5400,      94.2200,       111.7100,      45.4700,        6.9300,       52.4000,               5.3400,         0.7585,          0.0616
roadNet-CA   , S-V-ADAPTIVE_scalar,    60.1500,    45.6400,        35.3500,      85.1800,       117.0900,      53.3600,        7.2000,       60.5600,               5.2400,         1.1025,          0.0616
roadNet-CA   , SCALAR             ,    62.6200,    48.0700,        32.5200,      83.7300,       103.4200,      45.4600,        6.9900,       52.4500,               5.3200,         1.0409,          0.0616
thermal2     , ELL                ,    43.6000,    44.5300,        48.0100,      90.7400,       168.1000,     117.2700,        5.7500,      123.0200,               6.7500,         1.2664,          0.0384
thermal2     , FLAT_core          ,    34.0200,    43.3600,        52.4700,      87.4700,       141.5700,      87.2800,        5.5500,       92.8300,               5.5500,         1.0894,          0.0000
thermal2     , HYB_coo            ,     5.0700,    39.6200,        42.4900,      83.3100,        26.5000,      12.9700,        0.1398,       13.1098,               8.9100,         0.0409,          0.0000
thermal2     , HYB_ell            ,    43.4900,    44.4000,        48.0100,      90.6700,       168.0000,     117.2800,        5.7200,      123.0000,               6.7500,         1.2664,          0.0384
thermal2     , LINE               ,    48.1700,    47.1600,        54.5900,      96.8400,       181.1800,      82.0400,        5.5400,       87.5800,               6.0600,         1.3048,          0.0384
thermal2     , S-V-ADAPTIVE_scalar,    65.7800,    65.6400,        16.4000,      92.9500,       217.4100,      87.1600,        5.6300,       92.7900,              11.6500,         1.8409,          0.0384
thermal2     , SCALAR             ,    63.5100,    68.7700,        15.8100,      93.2800,       227.4900,      82.1200,        5.6000,       87.7200,              11.8000,         1.8025,          0.0384
webbase-1M   , ELL                ,    13.8900,    32.7200,        76.9100,      88.8800,        41.1800,      19.9000,        2.5900,       22.4900,               4.2400,         0.1875,          0.0313
webbase-1M   , FLAT_core          ,    31.9800,    31.5600,        67.6100,      84.3400,        65.8900,      36.9300,        3.0500,       39.9800,               4.3900,         0.4296,          0.0000
webbase-1M   , HYB_coo            ,    11.4500,    65.9900,        63.8000,      87.3900,       274.6200,      16.7900,        1.2100,       18.0000,               6.0200,         0.1389,          0.0000
webbase-1M   , HYB_ell            ,    13.8900,    32.5900,        76.9100,      88.9800,        40.9300,      19.9000,        2.5900,       22.4900,               4.2500,         0.1875,          0.0313
webbase-1M   , LINE               ,    47.5400,    37.6900,        66.7400,      79.4700,       990.6900,      33.0500,        3.6100,       36.6600,               4.6600,         0.6331,          0.0313
webbase-1M   , S-V-ADAPTIVE_scalar,    62.9100,    37.0400,        37.6700,      80.9300,        69.2200,      31.8200,        3.4500,       35.2700,               4.6200,         0.6464,          0.0311
webbase-1M   , S-V-ADAPTIVE_vector,    54.0300,    27.9200,        49.5500,      71.1500,        36.8300,       6.6100,        0.0107,        6.6208,               4.8400,         0.1012,          0.0058
webbase-1M   , SCALAR             ,    71.2100,    40.0400,        27.4500,      56.2300,       668.5100,      33.4300,        3.8500,       37.2800,               4.0500,         1.0985,          0.0313
